Año,Periodo,Sexo,cantpersonas
2015,Septiembre,Hombre,4401312
2015,Septiembre,Mujer,4073015
2016,Septiembre,Hombre,4446349
2016,Septiembre,Mujer,4127590
2017,Septiembre,Hombre,4486574
2017,Septiembre,Mujer,4181408
2018,Septiembre,Hombre,4522081
2018,Septiembre,Mujer,4240553
2019,Septiembre,Hombre,4558901
2019,Septiembre,Mujer,4303333
2020,Septiembre,Hombre,4539731
2020,Septiembre,Mujer,4321217
2021,Septiembre,Hombre,4562667
2021,Septiembre,Mujer,4387051
2022,Septiembre,Hombre,4577293
2022,Septiembre,Mujer,4438402
2015,Octubre,Hombre,4406434
2015,Octubre,Mujer,4079327
2016,Octubre,Hombre,4451164
2016,Octubre,Mujer,4134852
2017,Octubre,Hombre,4491082
2017,Octubre,Mujer,4188117
2019,Octubre,Hombre,4560661
2019,Octubre,Mujer,4308774
2020,Octubre,Hombre,4541369
2020,Octubre,Mujer,4326256
2021,Octubre,Hombre,4565412
2021,Octubre,Mujer,4393122
2022,Octubre,Hombre,4578861
2022,Octubre,Mujer,4444086
2015,Noviembre,Hombre,4412354
2015,Noviembre,Mujer,4085506
2016,Noviembre,Hombre,4455524
2016,Noviembre,Mujer,4139813
2017,Noviembre,Hombre,4497218
2017,Noviembre,Mujer,4195427
2018,Noviembre,Hombre,4530615
2018,Noviembre,Mujer,4256939
2019,Noviembre,Hombre,4565995
2019,Noviembre,Mujer,4316878
2020,Noviembre,Hombre,4546235
2020,Noviembre,Mujer,4334729
2021,Noviembre,Hombre,4572221
2021,Noviembre,Mujer,4402325
2022,Noviembre,Hombre,4583602
2022,Noviembre,Mujer,4452814
2015,Mayo,Hombre,4382142
2015,Mayo,Mujer,4052360
2016,Mayo,Hombre,4425358
2016,Mayo,Mujer,4103294
2017,Mayo,Hombre,4464508
2017,Mayo,Mujer,4154159
2018,Mayo,Hombre,4502424
2018,Mayo,Mujer,4212039
2019,Mayo,Hombre,4541180
2019,Mayo,Mujer,4274738
2020,Mayo,Hombre,4545099
2020,Mayo,Mujer,4310915
2021,Mayo,Hombre,4553349
2021,Mayo,Mujer,4366664
2022,Mayo,Hombre,4572324
2022,Mayo,Mujer,4417284
2016,Marzo,Hombre,4421478
2016,Marzo,Mujer,4097019
2017,Marzo,Hombre,4461954
2017,Marzo,Mujer,4148401
2018,Marzo,Hombre,4501709
2018,Marzo,Mujer,4206133
2019,Marzo,Hombre,4543330
2019,Marzo,Mujer,4272425
2020,Marzo,Hombre,4569098
2020,Marzo,Mujer,4327257
2021,Marzo,Hombre,4550364
2021,Marzo,Mujer,4353873
2022,Marzo,Hombre,4579533
2022,Marzo,Mujer,4417250
2023,Marzo,Hombre,4602505
2023,Marzo,Mujer,4474070
2015,Junio,Hombre,4388378
2015,Junio,Mujer,4059321
2016,Junio,Hombre,4433138
2016,Junio,Mujer,4111868
2017,Junio,Hombre,4472973
2017,Junio,Mujer,4164325
2018,Junio,Hombre,4510248
2018,Junio,Mujer,4222705
2019,Junio,Hombre,4550874
2019,Junio,Mujer,4287642
2020,Junio,Hombre,4542225
2020,Junio,Mujer,4312909
2021,Junio,Hombre,4559541
2021,Junio,Mujer,4376282
2022,Junio,Hombre,4578103
2022,Junio,Mujer,4426444
2015,Julio,Hombre,4394850
2015,Julio,Mujer,4066129
2016,Julio,Hombre,4439948
2016,Julio,Mujer,4119181
2017,Julio,Hombre,4479922
2017,Julio,Mujer,4171975
2018,Julio,Hombre,4516370
2018,Julio,Mujer,4230789
2019,Julio,Hombre,4555099
2019,Julio,Mujer,4294137
2020,Julio,Hombre,4544056
2020,Julio,Mujer,4320335
2021,Julio,Hombre,4564087
2021,Julio,Mujer,4383435
2022,Julio,Hombre,4579847
2022,Julio,Mujer,4433593
2016,Febrero,Hombre,4417121
2016,Febrero,Mujer,4091753
2017,Febrero,Hombre,4457988
2017,Febrero,Mujer,4140840
2018,Febrero,Hombre,4498180
2018,Febrero,Mujer,4200622
2019,Febrero,Hombre,4545015
2019,Febrero,Mujer,4273280
2020,Febrero,Hombre,4574430
2020,Febrero,Mujer,4330300
2021,Febrero,Hombre,4549166
2021,Febrero,Mujer,4348694
2022,Febrero,Hombre,4575753
2022,Febrero,Mujer,4412248
2023,Febrero,Hombre,4597957
2023,Febrero,Mujer,4469269
2016,Enero,Hombre,4414722
2016,Enero,Mujer,4088276
2017,Enero,Hombre,4458754
2017,Enero,Mujer,4143757
2018,Enero,Hombre,4498646
2018,Enero,Mujer,4199434
2019,Enero,Hombre,4539414
2019,Enero,Mujer,4267640
2020,Enero,Hombre,4571631
2020,Enero,Mujer,4326285
2021,Enero,Hombre,4553093
2021,Enero,Mujer,4348072
2022,Enero,Hombre,4581223
2022,Enero,Mujer,4413883
2023,Enero,Hombre,4598430
2023,Enero,Mujer,4468962
2015,Diciembre,Hombre,4417332
2015,Diciembre,Mujer,4091026
2016,Diciembre,Hombre,4462196
2016,Diciembre,Mujer,4146785
2017,Diciembre,Hombre,4502899
2017,Diciembre,Mujer,4202714
2018,Diciembre,Hombre,4539283
2018,Diciembre,Mujer,4267393
2019,Diciembre,Hombre,4572380
2019,Diciembre,Mujer,4325463
2020,Diciembre,Hombre,4553278
2020,Diciembre,Mujer,4345732
2021,Diciembre,Hombre,4579040
2021,Diciembre,Mujer,4411425
2022,Diciembre,Hombre,4590894
2022,Diciembre,Mujer,4462615
2015,Agosto,Hombre,4395349
2015,Agosto,Mujer,4066465
2016,Agosto,Hombre,4444259
2016,Agosto,Mujer,4124178
2017,Agosto,Hombre,4484049
2017,Agosto,Mujer,4177428
2018,Agosto,Hombre,4519465
2018,Agosto,Mujer,4235776
2019,Agosto,Hombre,4558393
2019,Agosto,Mujer,4300323
2020,Agosto,Hombre,4546714
2020,Agosto,Mujer,4326390
2021,Agosto,Hombre,4559461
2021,Agosto,Mujer,4381558
2022,Agosto,Hombre,4578929
2022,Agosto,Mujer,4436407
2016,Abril,Hombre,4423505
2016,Abril,Mujer,4100816
2017,Abril,Hombre,4467641
2017,Abril,Mujer,4156734
2018,Abril,Hombre,4504094
2018,Abril,Mujer,4211068
2019,Abril,Hombre,4546488
2019,Abril,Mujer,4277513
2020,Abril,Hombre,4563831
2020,Abril,Mujer,4326022
2021,Abril,Hombre,4551187
2021,Abril,Mujer,4360171
2022,Abril,Hombre,4579928
2022,Abril,Mujer,4421611
2023,Abril,Hombre,4604413
2023,Abril,Mujer,4478152
